run,model,repeats,burst_size,burst_gap_ns,frames,service_p50_ns,service_p95_ns,service_p99_ns,queue_p50_ns,queue_p95_ns,queue_p99_ns,queue_max_ns,burst_start_queue_p50_ns,burst_start_queue_p95_ns,burst_start_queue_p99_ns,burst_start_queue_max_ns,e2e_p50_ns,e2e_p95_ns,e2e_p99_ns,e2e_max_ns,checksum
1,virtual_single_server,20,1,1000000,19980,914,1742,4372,0,0,0,0,0,0,0,0,914,1742,4372,360849,2000
1,virtual_single_server,20,1,100000,19980,928,1767,4295,0,0,0,203664,0,0,0,203664,928,1768,4370,303664,2000
1,virtual_single_server,20,1,10000,19980,1120,2139,5441,0,0,7485,244840,0,0,7485,244840,1122,2259,17485,254840,2000
1,virtual_single_server,20,8,1000000,19980,1051,1948,4899,4057,9300,18135,916011,0,0,0,0,5291,10935,22283,921936,2000
1,virtual_single_server,20,8,100000,19980,1052,1931,4922,4075,9435,22614,701364,0,0,0,603759,5292,11097,26775,703759,2000
1,virtual_single_server,20,8,10000,19980,1102,2098,5404,2404702,4192883,4208328,4220176,2401067,4187570,4203973,4211120,2406156,4194190,4209678,4221120,2000
1,virtual_single_server,20,16,1000000,19980,1128,3071,9623,9904,30158,49692,198590,0,0,0,0,11283,32424,53176,199675,2000
1,virtual_single_server,20,16,100000,19980,1007,1885,4754,8645,20411,44801,351957,0,0,0,273901,9802,22361,47138,373901,2000
1,virtual_single_server,20,16,10000,19980,1000,1836,4513,6098524,11245836,11664241,11765186,6089404,11237974,11657873,11753958,6115786,11247974,11665142,11766081,2000
2,virtual_single_server,20,1,1000000,19980,1017,1927,4838,0,0,0,123435,0,0,0,123435,1017,1927,4838,1123435,2000
2,virtual_single_server,20,1,100000,19980,946,1731,4207,0,0,0,522554,0,0,0,522554,946,1733,4287,622554,2000
2,virtual_single_server,20,1,10000,19980,952,1766,4346,0,0,0,659648,0,0,0,659648,954,1838,8258,669648,2000
2,virtual_single_server,20,8,1000000,19980,948,1724,4139,3670,8301,15050,72384,0,0,0,0,4770,9743,17951,75662,2000
2,virtual_single_server,20,8,100000,19980,952,1791,4609,3716,8820,36982,1080154,0,0,0,981366,4833,10576,41949,1081366,2000
2,virtual_single_server,20,8,10000,19980,944,1768,4387,25636,688277,726950,744672,21521,683919,722505,735976,26868,689527,728233,745976,2000
2,virtual_single_server,20,16,1000000,19980,906,1656,4070,7665,17397,29186,89372,0,0,0,0,8703,18966,30965,91725,2000
2,virtual_single_server,20,16,100000,19980,881,1661,4245,7575,18494,60486,628626,0,0,0,529930,8618,20390,65357,629930,2000
2,virtual_single_server,20,16,10000,19980,877,1639,4119,4616411,8615259,8972230,9044728,4607185,8607146,8966654,9034877,4631482,8617146,8973002,9045483,2000
3,virtual_single_server,20,1,1000000,19980,878,1651,4031,0,0,0,0,0,0,0,0,878,1651,4031,76658,2000
3,virtual_single_server,20,1,100000,19980,870,1655,4120,0,0,0,713102,0,0,0,713102,870,1658,4211,813102,2000
3,virtual_single_server,20,1,10000,19980,830,1544,3867,0,0,0,1052212,0,0,0,1052212,832,1608,9741,1062212,2000
3,virtual_single_server,20,8,1000000,19980,829,1513,3772,3192,7268,13632,112637,0,0,0,0,4153,8519,16082,346127,2000
3,virtual_single_server,20,8,100000,19980,818,1515,3750,3186,7366,17593,684544,0,0,0,585423,4152,8594,20097,685423,2000
3,virtual_single_server,20,8,10000,19980,828,1517,3705,5235,636345,824351,881647,0,632540,819652,872653,6190,637661,825671,882653,2000
3,virtual_single_server,20,16,1000000,19980,786,1442,3516,6686,14987,25194,567321,0,0,0,0,7588,16301,26585,568254,2000
3,virtual_single_server,20,16,100000,19980,785,1419,3479,6663,14718,24675,71320,0,0,0,0,7555,15969,26341,72514,2000
