run,levels,conversion,parse_p50_ns,parse_p99_ns,convert_p50_ns,convert_p99_ns,apply_p50_ns,apply_p99_ns,total_p50_ns,total_p99_ns
1,50,stod-copy,34711,71581,13773,30491,5164,11037,53696,120875
1,50,fixed-ref,34821,100762,2636,6841,5130,11034,42534,118966
1,50,stod-ref,38395,92635,15122,37982,5718,15105,59415,144004
2,50,stod-copy,35503,64598,14008,26888,5307,10082,55216,99492
2,50,fixed-ref,34359,74412,2606,5575,5017,11987,42090,93348
2,50,stod-ref,31136,56639,12306,23779,4627,9706,48265,95013
3,50,stod-copy,29507,57443,11581,24985,4444,9663,45581,94473
3,50,fixed-ref,34965,67483,2714,5235,5177,10367,42852,82181
3,50,stod-ref,42390,129417,16561,39850,6229,14464,65357,181496
4,50,stod-copy,42825,159242,16816,51126,6406,20498,66087,245543
4,50,fixed-ref,35350,67206,2679,4739,5084,9673,43163,82859
4,50,stod-ref,30063,51324,11847,23254,4489,7612,46585,74854
5,50,stod-copy,34816,66664,13786,28177,5174,10493,53833,100132
5,50,fixed-ref,32871,61725,2497,4612,4821,8376,40230,74241
5,50,stod-ref,30415,60674,11957,23052,4522,7697,47049,86500
6,50,stod-copy,34045,67519,13453,27351,4992,9913,52797,109745
6,50,fixed-ref,36031,81771,2731,5819,5270,10414,44148,96892
6,50,stod-ref,36872,86567,14544,31201,5594,12829,56986,132794
7,50,stod-copy,44668,85487,17766,35367,6689,14205,69486,126689
7,50,fixed-ref,34498,63744,2602,4886,5022,9549,42181,78110
7,50,stod-ref,33280,78632,13092,28964,4993,11192,51514,124358
8,50,stod-copy,35532,97211,14079,30729,5325,13985,55100,147245
8,50,fixed-ref,34825,66321,2634,5637,5072,10858,42525,81662
8,50,stod-ref,30922,53044,11963,19542,4532,8717,47353,80363
9,50,stod-copy,31272,76419,12280,25300,4619,10928,48375,115235
9,50,fixed-ref,32678,73978,2471,5598,4783,9983,39939,90441
9,50,stod-ref,44742,114382,17617,40625,6538,14654,69160,174683
10,50,stod-copy,41875,96214,16328,34273,6150,16475,64981,147666
10,50,fixed-ref,39614,107873,2990,7796,5831,12678,48474,128615
10,50,stod-ref,37478,75654,14615,32113,5554,10290,58124,111694
11,50,stod-copy,31609,55816,12440,25025,4703,9168,48839,84262
11,50,fixed-ref,32408,72413,2446,5895,4846,10731,39754,92113
11,50,stod-ref,37710,94950,14855,31114,5625,13347,58564,139235
12,50,stod-copy,36048,73124,14297,28785,5308,11093,55817,108225
12,50,fixed-ref,36636,99506,2764,7126,5473,12818,44904,125512
12,50,stod-ref,39117,105333,15439,32130,5853,14362,60337,156913
13,50,stod-copy,35607,65431,13787,29219,5269,12306,54923,96604
13,50,fixed-ref,39146,120138,2974,8787,5565,15210,48002,143589
13,50,stod-ref,41040,100963,16070,33164,6052,17519,63240,146487
14,50,stod-copy,32655,68915,12883,26056,4797,9759,50617,105465
14,50,fixed-ref,33895,69635,2576,5697,4937,10602,41464,84478
14,50,stod-ref,34544,62094,13706,26829,5148,9211,53500,89123
15,50,stod-copy,39489,82796,15487,32965,5794,13970,61302,129590
15,50,fixed-ref,39969,88959,3048,6443,5880,15494,49008,111002
15,50,stod-ref,33208,54483,13100,24494,4930,8234,51252,81693
