run,levels,conversion,parser,input,parse_p50_ns,parse_p99_ns,convert_p50_ns,convert_p99_ns,apply_p50_ns,apply_p99_ns,total_p50_ns,total_p99_ns
1,50,stod-copy,dom,direct,17443,34627,7551,16267,10186,22915,35140,72544
1,50,fixed-ref,sax,direct,11409,20873,0,0,2927,4987,14347,26769
1,50,stod-ref,dom,direct,17651,42911,7273,14405,10326,21414,35248,82620
1,50,fixed-ref,dom,direct,17407,37817,1789,3675,10127,26248,29338,80962
1,50,fixed-ref,sax,copy,11582,22824,0,0,2930,5451,14509,29163
2,50,stod-copy,dom,direct,17354,42530,7569,22807,10102,27417,35048,64309
2,50,fixed-ref,sax,direct,11723,19940,0,0,2951,5334,14681,25976
2,50,stod-ref,dom,direct,17288,28210,7214,13511,10052,18468,34572,54056
2,50,fixed-ref,dom,direct,17396,36000,1776,4033,10075,21582,29226,71267
2,50,fixed-ref,sax,copy,11521,24747,0,0,2931,6124,14482,32292
3,50,stod-copy,dom,direct,17682,47226,7611,17448,10296,22735,35605,95954
3,50,fixed-ref,sax,direct,11475,24376,0,0,2917,5327,14399,30787
3,50,stod-ref,dom,direct,17546,45877,7304,15379,10358,25637,35175,98249
3,50,fixed-ref,dom,direct,17974,36071,1785,4092,10441,22211,30197,67557
3,50,fixed-ref,sax,copy,11787,21517,0,0,2956,5675,14742,29711
4,50,stod-copy,dom,direct,17403,34413,7485,14832,10083,20352,34946,67014
4,50,fixed-ref,sax,direct,11567,20196,0,0,2904,4954,14497,27094
4,50,stod-ref,dom,direct,17323,31031,7259,12993,10097,18987,34713,63233
4,50,fixed-ref,dom,direct,17029,30771,1675,3543,9823,18821,28658,53571
4,50,fixed-ref,sax,copy,11610,19911,0,0,2961,5010,14570,24973
5,50,stod-copy,dom,direct,17342,36043,7512,14433,10093,20144,34936,82805
5,50,fixed-ref,sax,direct,10894,20163,0,0,2867,5279,13802,25840
5,50,stod-ref,dom,direct,17299,39867,7146,14182,10138,23645,34629,88250
5,50,fixed-ref,dom,direct,17788,33808,1819,4054,10392,22426,30009,62160
5,50,fixed-ref,sax,copy,11580,23193,0,0,2943,5040,14536,28341
6,50,stod-copy,dom,direct,17342,46375,7586,14967,10111,23214,35043,96016
6,50,fixed-ref,sax,direct,12519,40527,0,0,3197,8607,15709,52506
6,50,stod-ref,dom,direct,17644,43126,7343,18700,10301,34947,35264,83563
6,50,fixed-ref,dom,direct,17109,29541,1704,3292,9848,18268,28785,50172
6,50,fixed-ref,sax,copy,10235,16308,0,0,2568,4507,12791,21695
7,50,stod-copy,dom,direct,16832,32344,7118,14145,9844,20653,34003,67823
7,50,fixed-ref,sax,direct,12087,22775,0,0,3080,5480,15197,29775
7,50,stod-ref,dom,direct,22662,45573,9192,19072,13125,27714,45266,92498
7,50,fixed-ref,dom,direct,26795,52034,2781,5340,15446,29728,45095,97120
7,50,fixed-ref,sax,copy,18330,38846,0,0,4653,11504,22984,53204
8,50,stod-copy,dom,direct,27539,72975,11872,25413,16104,38566,55426,154808
8,50,fixed-ref,sax,direct,21593,83271,0,0,5514,18828,27105,103547
8,50,stod-ref,dom,direct,35513,93782,14647,37108,20818,48210,71077,163506
8,50,fixed-ref,dom,direct,34212,107304,3537,8635,19818,50852,57494,167623
8,50,fixed-ref,sax,copy,28273,69475,0,0,7170,17480,35407,88399
9,50,stod-copy,dom,direct,39231,102248,16544,40905,22794,53640,79263,203217
9,50,fixed-ref,sax,direct,19861,44111,0,0,5065,16252,24903,66430
9,50,stod-ref,dom,direct,30481,60086,12500,25834,17701,36894,60828,108460
9,50,fixed-ref,dom,direct,30305,57458,3070,6447,17375,33101,50850,96741
9,50,fixed-ref,sax,copy,22627,74851,0,0,5863,16938,28532,94372
10,50,stod-copy,dom,direct,35998,99085,15675,37024,21095,48449,72581,179171
10,50,fixed-ref,sax,direct,26564,45178,0,0,6633,13156,33203,59455
10,50,stod-ref,dom,direct,33479,60093,13806,27576,19509,37556,67063,113222
10,50,fixed-ref,dom,direct,33097,95604,3421,8349,19123,54971,55729,151512
10,50,fixed-ref,sax,copy,23117,42435,0,0,5954,10622,28965,54328
11,50,stod-copy,dom,direct,30178,59035,12997,26457,17658,35073,60985,132153
11,50,fixed-ref,sax,direct,19008,45477,0,0,4796,13665,23812,65902
11,50,stod-ref,dom,direct,27173,54333,11198,23855,15828,30508,54343,118365
11,50,fixed-ref,dom,direct,25675,60608,2676,5445,14895,35648,43165,103212
11,50,fixed-ref,sax,copy,18987,39436,0,0,4815,10719,23804,53044
12,50,stod-copy,dom,direct,27141,61769,11679,23271,15823,34292,54776,125421
12,50,fixed-ref,sax,direct,17014,31341,0,0,4307,8378,21320,40621
12,50,stod-ref,dom,direct,24697,46678,10164,19149,14457,29600,49328,96111
12,50,fixed-ref,dom,direct,23734,42779,2536,4931,13761,26769,39999,73989
12,50,fixed-ref,sax,copy,15778,26885,0,0,4005,6895,19794,33829
13,50,stod-copy,dom,direct,23637,39018,10157,15786,13739,24186,47613,71860
13,50,fixed-ref,sax,direct,16044,33520,0,0,4117,7607,20132,44849
13,50,stod-ref,dom,direct,25164,50526,10379,20938,14708,31185,50334,97007
13,50,fixed-ref,dom,direct,30503,52811,3113,5277,17696,33521,51344,87213
13,50,fixed-ref,sax,copy,18939,32191,0,0,4858,8601,23800,40974
14,50,stod-copy,dom,direct,26133,45079,11297,21157,15287,27389,52826,94930
14,50,fixed-ref,sax,direct,16886,29444,0,0,4328,7170,21206,36629
14,50,stod-ref,dom,direct,24758,43238,10307,19340,14444,26299,49476,88020
14,50,fixed-ref,dom,direct,24349,45448,2537,4356,14111,29334,40982,72571
14,50,fixed-ref,sax,copy,15978,26888,0,0,4101,7106,20077,34867
15,50,stod-copy,dom,direct,23662,41432,10205,19116,13747,25255,47668,83443
15,50,fixed-ref,sax,direct,16355,28513,0,0,4130,7173,20497,37516
15,50,stod-ref,dom,direct,27809,47590,11275,20483,15959,28969,55207,93227
15,50,fixed-ref,dom,direct,26736,53372,2760,6414,15494,36686,45114,86615
15,50,fixed-ref,sax,copy,17282,29901,0,0,4416,7513,21629,38096
