run,variant,frames,decode_p50_ns,decode_p99_ns,level_arrays_p50_ns,level_arrays_p99_ns,apply_p50_ns,apply_p99_ns,total_p50_ns,total_p99_ns
1,bounded,398,6760,17584,0,0,3355,7714,8767,22848
2,one-pass,398,6695,28378,0,0,3269,17978,8983,70971
3,one-pass,398,6979,13712,0,0,3224,7206,9272,17421
4,bounded,398,6494,13980,0,0,3148,7241,8599,23543
5,bounded,398,6527,19407,0,0,3307,8393,8832,24234
6,one-pass,398,6795,11271,0,0,3154,7094,8892,17921
7,one-pass,398,7010,26224,0,0,2994,7467,8721,38252
8,bounded,398,6866,22311,0,0,3114,7784,8936,40527
9,bounded,398,6488,12347,0,0,2995,7050,8790,19969
10,one-pass,398,6923,12344,0,0,3206,7726,8898,20030
11,one-pass,398,6667,28408,0,0,3151,8573,8664,40947
12,bounded,398,6579,12993,0,0,3008,7130,8619,21836
13,bounded,398,6743,13055,0,0,3122,11566,8861,21673
14,one-pass,398,6661,13203,0,0,3086,12524,8546,26134
