run,variant,frames,decode_p50_ns,decode_p99_ns,apply_p50_ns,apply_p99_ns,total_p50_ns,total_p99_ns
1,direct-topic,19980,1221,3708,51,744,1295,4610
1,copy-topic,19980,1098,2986,43,549,1148,3637
2,direct-topic,19980,1070,2932,43,526,1120,3564
2,copy-topic,19980,1088,2955,43,548,1139,3586
3,direct-topic,19980,1114,3540,46,729,1175,4195
3,copy-topic,19980,1101,2994,43,524,1150,3510
4,direct-topic,19980,1103,2975,44,547,1155,3618
4,copy-topic,19980,1087,2914,43,559,1136,3523
5,direct-topic,19980,1118,3168,46,653,1173,3876
5,copy-topic,19980,1203,3296,48,533,1263,3881
6,direct-topic,19980,1165,3158,48,599,1225,3822
6,copy-topic,19980,1109,3017,44,482,1159,3544
7,direct-topic,19980,1083,3000,44,585,1137,3655
7,copy-topic,19980,1132,3058,44,471,1183,3596
8,direct-topic,19980,1080,3112,44,564,1129,3805
8,copy-topic,19980,1066,2963,43,515,1119,3542
9,direct-topic,19980,1097,3004,43,524,1147,3587
9,copy-topic,19980,1065,2955,43,534,1118,3557
10,direct-topic,19980,1111,3054,44,545,1160,3736
10,copy-topic,19980,1094,3351,44,709,1152,4409
11,direct-topic,19980,1102,3185,49,600,1162,3835
11,copy-topic,19980,1135,3148,46,612,1190,3842
12,direct-topic,19980,1074,3028,44,565,1128,3651
12,copy-topic,19980,1041,2825,41,431,1091,3291
13,direct-topic,19980,1023,2801,41,437,1074,3272
13,copy-topic,19980,1052,2844,42,478,1103,3420
14,direct-topic,19980,980,2670,40,485,1028,3201
14,copy-topic,19980,956,2606,38,458,998,3141
15,direct-topic,19980,999,2659,40,463,1050,3172
15,copy-topic,19980,1038,2852,42,521,1092,3419
