run,variant,frames,decode_p50_ns,decode_p99_ns,level_arrays_p50_ns,level_arrays_p99_ns,apply_p50_ns,apply_p99_ns,total_p50_ns,total_p99_ns
1,bounded,19900,531,1264,0,0,42,254,581,1554
1,one-pass,19900,416,1122,0,0,40,209,461,1367
2,bounded,19900,525,1197,0,0,41,222,573,1405
2,one-pass,19900,435,1194,0,0,40,207,482,1395
3,bounded,19900,541,1223,0,0,42,221,590,1430
3,one-pass,19900,476,1497,0,0,49,328,530,1832
4,bounded,19900,585,1320,0,0,46,272,638,1540
4,one-pass,19900,494,1367,0,0,46,282,547,1603
5,bounded,19900,615,1398,0,0,49,282,670,1653
5,one-pass,19900,519,1423,0,0,49,302,577,1675
6,bounded,19900,636,1454,0,0,49,254,695,1695
6,one-pass,19900,545,1511,0,0,51,275,604,1767
7,bounded,19900,681,1535,0,0,58,321,744,1806
7,one-pass,19900,560,1545,0,0,51,274,619,1797
8,bounded,19900,703,1613,0,0,56,288,767,1881
8,one-pass,19900,580,1583,0,0,53,285,642,1854
9,bounded,19900,714,1737,0,0,57,352,778,2104
9,one-pass,19900,599,1679,0,0,56,287,665,1958
10,bounded,19900,738,1697,0,0,61,376,807,2020
10,one-pass,19900,617,1721,0,0,57,321,684,2008
11,bounded,19900,881,6047,0,0,73,588,963,6725
11,one-pass,19900,717,1971,0,0,66,354,794,2307
12,bounded,19900,879,1944,0,0,68,371,959,2288
12,one-pass,19900,717,2006,0,0,69,364,797,2342
13,bounded,19900,871,1979,0,0,69,376,950,2326
13,one-pass,19900,717,1997,0,0,67,388,795,2328
14,bounded,19900,865,1973,0,0,69,389,942,2310
14,one-pass,19900,689,1874,0,0,65,332,763,2205
15,bounded,19900,874,1951,0,0,69,375,955,2296
15,one-pass,19900,719,2661,0,0,68,392,797,2979
