run,variant,type,frames,decode_p50_ns,decode_p95_ns,decode_p99_ns,envelope_p50_ns,bids_p50_ns,asks_p50_ns,apply_p50_ns,apply_p95_ns,apply_p99_ns,total_p50_ns,total_p95_ns,total_p99_ns,vector_capacity_growths
1,baseline,snapshot,20,220872,248842,255960,69130,55694,93917,122254,149560,189524,349264,378791,429168,0
1,baseline,delta,360,1111,1761,2173,594,93,269,159,483,657,1275,2291,2729,0
2,reuse,snapshot,20,216363,294171,837584,68758,54451,92640,16286,19570,30476,232523,313376,868060,0
2,reuse,delta,360,1103,1757,2196,594,94,260,152,497,873,1260,2283,3071,0
3,reuse,snapshot,20,224118,292477,477775,70758,55725,93555,19063,28035,107910,242889,320512,585685,0
3,reuse,delta,360,1131,1824,2599,599,96,271,166,597,980,1294,2394,3899,0
4,baseline,snapshot,20,219026,314340,329301,68610,55524,94157,120210,158058,225778,350263,444861,479611,0
4,baseline,delta,360,1117,1883,2876,594,95,276,173,621,1211,1299,2577,3632,0
5,baseline,snapshot,20,227177,269580,569814,72493,57600,96710,123771,141634,286987,350198,556567,711448,0
5,baseline,delta,360,1164,1907,2715,619,97,284,196,700,1147,1380,2732,3892,0
6,reuse,snapshot,20,231431,321115,332229,72762,57766,98034,18320,30760,31294,250507,340883,363523,0
6,reuse,delta,360,1164,1820,2375,625,98,272,180,630,968,1355,2408,3460,0
7,reuse,snapshot,20,229957,289863,307416,72533,58597,98424,19557,29502,30156,250673,311750,337572,0
7,reuse,delta,360,1217,2024,2765,651,106,289,173,507,868,1381,2528,3350,0
8,baseline,snapshot,20,268741,310279,359728,84948,67897,115550,147969,169105,187003,422452,461615,527594,0
8,baseline,delta,360,1378,2179,2739,724,116,330,203,597,979,1585,2861,3517,0
9,baseline,snapshot,20,359547,516461,588205,89010,107654,160240,220706,288686,548043,596945,789630,895287,0
9,baseline,delta,360,1806,3841,5577,866,158,511,304,1105,1692,2098,5082,6603,0
10,reuse,snapshot,20,271950,342271,1475345,86873,69688,117256,21324,29147,36623,292955,371418,1511968,0
10,reuse,delta,360,1359,2119,3182,726,114,322,190,639,1101,1560,2683,4066,0
11,reuse,snapshot,20,266265,314179,1079873,84240,67701,114592,20451,26593,38088,286271,337228,1117961,0
11,reuse,delta,360,1348,2182,2512,725,114,321,224,695,1188,1577,2818,3755,0
12,baseline,snapshot,20,266697,323546,677780,84344,67704,114268,146506,236045,239135,413393,562681,830739,0
12,baseline,delta,360,1362,2149,2964,726,114,331,201,671,1060,1577,2864,3898,0
13,baseline,snapshot,20,267092,376101,527885,82983,67836,114374,144912,191854,194925,415472,561428,693644,0
13,baseline,delta,360,1330,2102,2586,710,113,318,208,753,1292,1535,2918,3637,0
14,reuse,snapshot,20,252034,380588,619532,79630,63420,108134,20403,28734,29340,276135,409322,641185,0
14,reuse,delta,360,1314,2099,2548,693,114,320,185,554,873,1508,2686,3286,0
