run,implementation,mode,levels_per_side,iterations,warmup,updates_per_batch,cpu_start,cpu_end,elapsed_ns,batches_per_second,p50_ns,p95_ns,p99_ns,checksum
1,map,delta-mixed,1000,20000,1000,12,0,0,2873116,6.96108e+06,116,134,140,4004080000
2,map,delta-mixed,1000,20000,1000,12,0,0,2908959,6.87531e+06,115,137,141,4004080000
3,map,delta-mixed,1000,20000,1000,12,0,0,2853137,7.00983e+06,116,119,140,4004080000
4,map,delta-mixed,1000,20000,1000,12,0,0,2860510,6.99176e+06,117,121,139,4004080000
5,map,delta-mixed,1000,20000,1000,12,0,0,4553046,4.39266e+06,116,139,153,4004080000
6,map,delta-mixed,1000,20000,1000,12,0,0,2809271,7.11928e+06,117,119,141,4004080000
7,map,delta-mixed,1000,20000,1000,12,0,0,2865233,6.98024e+06,116,136,142,4004080000
8,map,delta-mixed,1000,20000,1000,12,0,0,2979879,6.71168e+06,116,158,208,4004080000
9,map,delta-mixed,1000,20000,1000,12,0,0,2861553,6.98921e+06,118,121,125,4004080000
10,map,delta-mixed,1000,20000,1000,12,0,0,2851383,7.01414e+06,115,128,141,4004080000
11,map,delta-mixed,1000,20000,1000,12,0,0,2936781,6.81018e+06,115,138,142,4004080000
12,map,delta-mixed,1000,20000,1000,12,0,0,2840761,7.04037e+06,117,139,143,4004080000
13,map,delta-mixed,1000,20000,1000,12,0,0,2882148,6.93927e+06,118,122,144,4004080000
14,map,delta-mixed,1000,20000,1000,12,0,0,2869538,6.96976e+06,118,120,140,4004080000
15,map,delta-mixed,1000,20000,1000,12,0,0,2784308,7.18311e+06,115,118,141,4004080000
