run,implementation,mode,levels_per_side,iterations,warmup,updates_per_batch,cpu_start,cpu_end,elapsed_ns,batches_per_second,p50_ns,p95_ns,p99_ns,checksum
1,map,delta-update,1000,20000,1000,16,0,0,2223173,8.99615e+06,86,88,89,4004060000
2,map,delta-update,1000,20000,1000,16,0,0,2254611,8.87071e+06,86,89,93,4004060000
3,map,delta-update,1000,20000,1000,16,0,0,2559850,7.81296e+06,86,122,139,4004060000
4,map,delta-update,1000,20000,1000,16,0,0,2402098,8.32605e+06,86,89,104,4004060000
5,map,delta-update,1000,20000,1000,16,0,0,2187253,9.14389e+06,86,88,89,4004060000
6,map,delta-update,1000,20000,1000,16,0,0,2237309,8.93931e+06,86,88,89,4004060000
7,map,delta-update,1000,20000,1000,16,0,0,2199501,9.09297e+06,86,88,89,4004060000
8,map,delta-update,1000,20000,1000,16,0,0,2289863,8.73415e+06,87,89,89,4004060000
9,map,delta-update,1000,20000,1000,16,0,0,2352342,8.50217e+06,86,88,89,4004060000
10,map,delta-update,1000,20000,1000,16,0,0,2336739,8.55894e+06,87,100,132,4004060000
11,map,delta-update,1000,20000,1000,16,0,0,2249889,8.88933e+06,86,88,89,4004060000
12,map,delta-update,1000,20000,1000,16,0,0,2272376,8.80136e+06,86,90,92,4004060000
13,map,delta-update,1000,20000,1000,16,0,0,2270872,8.80719e+06,86,88,89,4004060000
14,map,delta-update,1000,20000,1000,16,0,0,3379655,5.91776e+06,86,130,168,4004060000
15,map,delta-update,1000,20000,1000,16,0,0,2183407,9.16e+06,86,88,89,4004060000
